FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE
Danny Abbadi,71.0,155.0,,Orthodox,1983-07-03,http://ufcstats.com/fighter-details/15df64c02b6b0fde,True,39.0
David Abbott,72.0,265.0,,Switch,,http://ufcstats.com/fighter-details/b361180739bed4b0,True,
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,True,41.0
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/5140122c3eecd307,True,31.0
Papy Abedi,71.0,185.0,,Southpaw,1978-06-30,http://ufcstats.com/fighter-details/c9f6385af6df66d7,True,44.0
Ricardo Abreu,71.0,185.0,,Orthodox,1984-04-27,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,True,38.0
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,http://ufcstats.com/fighter-details/7279654c7674cd24,True,30.0
Scott Adams,72.0,225.0,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614,True,
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/83b00f7597e5ac83,True,31.0
Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1992-07-29,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,True,30.0
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,True,33.0
Sam Adkins,75.0,225.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/0e9869d712e81f8f,True,57.0
Nick Agallar,68.0,155.0,,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,True,44.0
Mariya Agapova,66.0,125.0,68.0,Southpaw,1997-04-07,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,True,25.0
Marcelo Aguiar,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68,True,
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,http://ufcstats.com/fighter-details/8f382b3baa954d2a,True,40.0
Kevin Aguilar,67.0,155.0,73.0,Orthodox,1988-09-07,http://ufcstats.com/fighter-details/cf946e03ba2e7666,True,34.0
Christian Aguilera,69.0,170.0,72.0,Switch,1991-11-25,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,True,31.0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,http://ufcstats.com/fighter-details/16690d100f995f8f,True,35.0
Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,1975-07-29,http://ufcstats.com/fighter-details/b0550072e5f0afa7,True,47.0
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,True,31.0
Razak Al-Hassan,74.0,205.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,True,40.0
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,http://ufcstats.com/fighter-details/1cf1310684a841f5,True,49.0
Alatengheili,65.0,135.0,66.0,Orthodox,1991-12-14,http://ufcstats.com/fighter-details/1897b7b913736a7c,True,31.0
Amir Albazi,65.0,125.0,68.0,Orthodox,1993-10-27,http://ufcstats.com/fighter-details/6d35bf94f7d30241,True,29.0
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,True,36.0
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,http://ufcstats.com/fighter-details/c482c8605455a213,True,31.0
Wes Albritton,70.0,188.0,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52,True,
Aleksandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,True,32.0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,True,42.0
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,http://ufcstats.com/fighter-details/7c6e87729e824ef4,True,40.0
Alfonso Alcarez,63.0,145.0,,,1970-06-10,http://ufcstats.com/fighter-details/1e38bba6738b7b10,True,52.0
Gilbert Aldana,73.0,250.0,,Orthodox,1977-08-25,http://ufcstats.com/fighter-details/d26934530dc5b248,True,45.0
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,http://ufcstats.com/fighter-details/578ef12674df1e6a,True,34.0
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,http://ufcstats.com/fighter-details/c487223b0289bda9,True,34.0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,True,36.0
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,http://ufcstats.com/fighter-details/6fd953151d981979,True,30.0
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/fe5a9547479396ab,True,36.0
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,True,43.0
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,http://ufcstats.com/fighter-details/0541480fbf719d86,True,50.0
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,http://ufcstats.com/fighter-details/d53482bef23235ba,True,33.0
Bill Algeo,72.0,145.0,73.0,Switch,1989-06-09,http://ufcstats.com/fighter-details/9abc648e76c4493a,True,33.0
Royce Alger,70.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515,True,
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,http://ufcstats.com/fighter-details/e70de1859b7ee78e,True,38.0
John Allan,73.0,205.0,75.0,Orthodox,1993-02-22,http://ufcstats.com/fighter-details/6ebe96a116e79e52,True,29.0
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,http://ufcstats.com/fighter-details/040a74bb0a465c54,True,29.0
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98,True,27.0
Ben Alloway,71.0,170.0,76.0,Orthodox,1981-02-19,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,True,41.0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,http://ufcstats.com/fighter-details/91186547a7f3f758,True,46.0
Thomas Almeida,67.0,145.0,70.0,Southpaw,1991-07-31,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,True,31.0
Ericka Almeida,66.0,115.0,,Orthodox,1989-03-05,http://ufcstats.com/fighter-details/67a992d4cff22466,True,33.0
Jailton Almeida,75.0,205.0,79.0,Orthodox,1991-06-26,http://ufcstats.com/fighter-details/41e83a89929d1327,True,31.0
Lucas Almeida,71.0,155.0,71.0,Orthodox,1991-01-13,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,True,32.0
Sarah Alpar,64.0,135.0,63.0,Southpaw,1991-06-01,http://ufcstats.com/fighter-details/49b130de1da2e1bf,True,31.0
Ali AlQaisi,66.0,135.0,68.0,Orthodox,1990-09-23,http://ufcstats.com/fighter-details/e87a13e02c01331d,True,32.0
Victor Altamirano,68.0,125.0,70.0,Switch,1991-01-23,http://ufcstats.com/fighter-details/dc7927cd622676a7,True,32.0
Sean Alvarez,72.0,235.0,,Orthodox,1971-07-14,http://ufcstats.com/fighter-details/e741536153227386,True,51.0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f,True,39.0
Joel Alvarez,75.0,155.0,77.0,Orthodox,1993-03-02,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,True,29.0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,True,39.0
Amilcar Alves,72.0,170.0,,Southpaw,1988-08-08,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,True,34.0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,True,32.0
Rafael Alves,68.0,155.0,68.0,Orthodox,1990-11-14,http://ufcstats.com/fighter-details/029afd138865d20a,True,32.0
Sam Alvey,74.0,185.0,75.0,Southpaw,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856,True,36.0
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,http://ufcstats.com/fighter-details/1e327b281ef6a745,True,36.0
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,True,34.0
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,True,34.0
Eryk Anders,73.0,185.0,75.0,Southpaw,1987-04-21,http://ufcstats.com/fighter-details/cad24459b28592ca,True,35.0
Matt Andersen,74.0,230.0,,Southpaw,1971-05-29,http://ufcstats.com/fighter-details/8738eacd62e82a32,True,51.0
Andy Anderson,66.0,240.0,,,1974-07-16,http://ufcstats.com/fighter-details/9199e0735b83dd32,True,48.0
Lowell Anderson,66.0,160.0,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b,True,
Corey Anderson,75.0,205.0,79.0,Orthodox,1989-09-22,http://ufcstats.com/fighter-details/5e4eec08896c9423,True,33.0
Megan Anderson,72.0,145.0,72.0,Orthodox,1990-02-11,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,True,32.0
Alex Andrade,71.0,200.0,,Orthodox,1974-05-14,http://ufcstats.com/fighter-details/1562b12763cc8d67,True,48.0
Jessica Andrade,61.0,125.0,62.0,Orthodox,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f,True,31.0
Viscardi Andrade,71.0,170.0,75.0,Orthodox,1984-03-08,http://ufcstats.com/fighter-details/d221ee27afc7a60e,True,38.0
Jermaine Andre,67.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196,True,
Dylan Andrews,73.0,185.0,74.0,Switch,1979-11-15,http://ufcstats.com/fighter-details/00debc804e2b1cd4,True,43.0
Reese Andy,72.0,205.0,,Orthodox,1973-03-31,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,True,49.0
Collin Anglin,69.0,145.0,71.0,Orthodox,1993-02-20,http://ufcstats.com/fighter-details/047a91d3d9c79b05,True,29.0
Chad Anheliger,66.0,135.0,64.0,Orthodox,1986-12-01,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,True,36.0
Yoji Anjo,71.0,205.0,,Orthodox,1967-03-28,http://ufcstats.com/fighter-details/e06fd1260ac865a7,True,55.0
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,True,30.0
Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/af997f7611673880,True,35.0
Azunna Anyanwu,73.0,251.0,,Orthodox,1981-08-05,http://ufcstats.com/fighter-details/78d48d3874dacafd,True,41.0
Shinsho Anzai,67.0,170.0,70.0,Orthodox,1985-12-01,http://ufcstats.com/fighter-details/4665f9f909cd7214,True,37.0
Aoriqileng,67.0,125.0,69.0,Orthodox,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,True,29.0
Romie Aram,70.0,170.0,,Orthodox,1977-12-02,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,True,45.0
Felipe Arantes,68.0,135.0,73.0,Orthodox,1988-02-09,http://ufcstats.com/fighter-details/71002dbc1743b9a7,True,34.0
Igor Araujo,73.0,170.0,77.0,Orthodox,1980-12-06,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,True,42.0
Viviane Araujo,64.0,125.0,68.0,Orthodox,1986-11-21,http://ufcstats.com/fighter-details/36541f1e6c5d4955,True,36.0
Julio Arce,67.0,145.0,70.0,Southpaw,1989-10-27,http://ufcstats.com/fighter-details/1291edf2d566a71a,True,33.0
Andrei Arlovski,75.0,240.0,77.0,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f,True,43.0
Austin Arnett,72.0,145.0,72.0,Orthodox,1991-10-22,http://ufcstats.com/fighter-details/bf0e700106d00e55,True,31.0
Akbarh Arreola,70.0,155.0,71.0,Southpaw,1983-01-14,http://ufcstats.com/fighter-details/c136b2a8852da5bd,True,40.0
Matt Arroyo,70.0,170.0,72.0,Orthodox,1982-09-01,http://ufcstats.com/fighter-details/de62052b2ede65ba,True,40.0
Antonio Arroyo,75.0,185.0,73.0,Orthodox,1989-07-01,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,True,33.0
