fighter1,fighter2,odds_f1,odds_f2,bookmaker
Francisco Prado,Jamie Mullarkey,3.05,1.38,Unibet
Francisco Prado,Jamie Mullarkey,3.05,1.38,BetRivers
Francisco Prado,Jamie Mullarkey,3.05,1.38,Barstool Sportsbook
Francisco Prado,Jamie Mullarkey,3.15,1.39,SuperBook
Francisco Prado,Jamie Mullarkey,3.04,1.37,MyBookie.ag
Francisco Prado,Jamie Mullarkey,3.35,1.36,LowVig.ag
Francisco Prado,Jamie Mullarkey,3.05,1.38,TwinSpires
Francisco Prado,Jamie Mullarkey,3.2,1.38,DraftKings
Francisco Prado,Jamie Mullarkey,3.05,1.38,SugarHouse
Francisco Prado,Jamie Mullarkey,3.2,1.36,Bovada
Elves Brenner,Zubaira Tukhugov,4.9,1.2,DraftKings
Elves Brenner,Zubaira Tukhugov,4.8,1.19,Unibet
Elves Brenner,Zubaira Tukhugov,4.8,1.19,BetRivers
Elves Brenner,Zubaira Tukhugov,4.59,1.19,MyBookie.ag
Elves Brenner,Zubaira Tukhugov,4.8,1.19,Barstool Sportsbook
Elves Brenner,Zubaira Tukhugov,4.8,1.19,SugarHouse
Elves Brenner,Zubaira Tukhugov,5.0,1.2,SuperBook
Elves Brenner,Zubaira Tukhugov,4.75,1.2,LowVig.ag
Elves Brenner,Zubaira Tukhugov,4.8,1.19,TwinSpires
Elves Brenner,Zubaira Tukhugov,4.7,1.18,Bovada
Don Shainis,Jack Jenkins,3.65,1.31,SuperBook
Don Shainis,Jack Jenkins,3.47,1.3,MyBookie.ag
Don Shainis,Jack Jenkins,3.5,1.3,Barstool Sportsbook
Don Shainis,Jack Jenkins,3.5,1.3,TwinSpires
Don Shainis,Jack Jenkins,3.5,1.3,BetRivers
Don Shainis,Jack Jenkins,3.6,1.32,DraftKings
Don Shainis,Jack Jenkins,3.5,1.3,Unibet
Don Shainis,Jack Jenkins,3.55,1.33,LowVig.ag
Don Shainis,Jack Jenkins,3.5,1.3,SugarHouse
Don Shainis,Jack Jenkins,3.5,1.31,Bovada
Blake Bilder,Shane Young,2.1,1.77,DraftKings
Blake Bilder,Shane Young,2.01,1.78,MyBookie.ag
Blake Bilder,Shane Young,2.05,1.8,SuperBook
Blake Bilder,Shane Young,2.1,1.77,LowVig.ag
Blake Bilder,Shane Young,2.04,1.79,Barstool Sportsbook
Blake Bilder,Shane Young,2.04,1.79,TwinSpires
Blake Bilder,Shane Young,2.04,1.79,SugarHouse
Blake Bilder,Shane Young,2.04,1.79,BetRivers
Blake Bilder,Shane Young,2.04,1.79,Unibet
Blake Bilder,Shane Young,2.1,1.77,Bovada
Elise Reed,Loma Lookboonmee,3.25,1.38,LowVig.ag
Elise Reed,Loma Lookboonmee,3.35,1.36,SuperBook
Elise Reed,Loma Lookboonmee,3.2,1.34,MyBookie.ag
Elise Reed,Loma Lookboonmee,3.3,1.36,DraftKings
Elise Reed,Loma Lookboonmee,3.25,1.34,Barstool Sportsbook
Elise Reed,Loma Lookboonmee,3.25,1.34,BetRivers
Elise Reed,Loma Lookboonmee,3.25,1.34,Unibet
Elise Reed,Loma Lookboonmee,3.25,1.34,SugarHouse
Elise Reed,Loma Lookboonmee,3.25,1.34,TwinSpires
Elise Reed,Loma Lookboonmee,3.2,1.36,Bovada
Kleydson Rodrigues,Shannon Ross,1.34,3.16,MyBookie.ag
Kleydson Rodrigues,Shannon Ross,1.37,3.3,SuperBook
Kleydson Rodrigues,Shannon Ross,1.36,3.4,LowVig.ag
Kleydson Rodrigues,Shannon Ross,1.36,3.3,DraftKings
Kleydson Rodrigues,Shannon Ross,1.36,3.15,SugarHouse
Kleydson Rodrigues,Shannon Ross,1.36,3.15,Barstool Sportsbook
Kleydson Rodrigues,Shannon Ross,1.36,3.15,TwinSpires
Kleydson Rodrigues,Shannon Ross,1.36,3.15,BetRivers
Kleydson Rodrigues,Shannon Ross,1.36,3.15,Unibet
Kleydson Rodrigues,Shannon Ross,1.34,3.3,Bovada
Modestas Bukauskas,Tyson Pedro,3.0,1.43,LowVig.ag
Modestas Bukauskas,Tyson Pedro,3.0,1.42,DraftKings
Modestas Bukauskas,Tyson Pedro,3.15,1.36,TwinSpires
Modestas Bukauskas,Tyson Pedro,3.15,1.36,Barstool Sportsbook
Modestas Bukauskas,Tyson Pedro,3.15,1.36,BetRivers
Modestas Bukauskas,Tyson Pedro,3.15,1.36,Unibet
Modestas Bukauskas,Tyson Pedro,3.15,1.36,SugarHouse
Modestas Bukauskas,Tyson Pedro,3.2,1.38,SuperBook
Modestas Bukauskas,Tyson Pedro,3.06,1.36,MyBookie.ag
Josh Culibao,Melsik Baghdasaryan,1.91,1.91,SuperBook
Josh Culibao,Melsik Baghdasaryan,1.88,1.9,MyBookie.ag
Josh Culibao,Melsik Baghdasaryan,1.88,1.92,Barstool Sportsbook
Josh Culibao,Melsik Baghdasaryan,1.88,1.92,TwinSpires
Josh Culibao,Melsik Baghdasaryan,1.88,1.92,BetRivers
Josh Culibao,Melsik Baghdasaryan,1.91,1.91,DraftKings
Josh Culibao,Melsik Baghdasaryan,1.88,1.92,Unibet
Josh Culibao,Melsik Baghdasaryan,1.87,1.95,LowVig.ag
Josh Culibao,Melsik Baghdasaryan,1.88,1.92,SugarHouse
Josh Culibao,Melsik Baghdasaryan,1.91,1.91,Bovada
Justin Tafa,Parker Porter,1.71,2.2,LowVig.ag
Justin Tafa,Parker Porter,1.71,2.2,DraftKings
Justin Tafa,Parker Porter,1.66,2.19,MyBookie.ag
Justin Tafa,Parker Porter,1.69,2.25,SuperBook
Justin Tafa,Parker Porter,1.67,2.2,Barstool Sportsbook
Justin Tafa,Parker Porter,1.67,2.2,SugarHouse
Justin Tafa,Parker Porter,1.67,2.2,TwinSpires
Justin Tafa,Parker Porter,1.67,2.2,BetRivers
Justin Tafa,Parker Porter,1.67,2.2,Unibet
Justin Tafa,Parker Porter,1.69,2.2,Bovada
Alonzo Menifield,Jim Crute,2.83,1.42,MyBookie.ag
Alonzo Menifield,Jim Crute,2.95,1.43,SuperBook
Alonzo Menifield,Jim Crute,2.9,1.44,LowVig.ag
Alonzo Menifield,Jim Crute,2.95,1.43,DraftKings
Alonzo Menifield,Jim Crute,2.8,1.43,SugarHouse
Alonzo Menifield,Jim Crute,2.8,1.43,Barstool Sportsbook
Alonzo Menifield,Jim Crute,2.8,1.43,TwinSpires
Alonzo Menifield,Jim Crute,2.8,1.43,BetRivers
Alonzo Menifield,Jim Crute,2.8,1.43,Unibet
Alonzo Menifield,Jim Crute,2.85,1.43,Bovada
Jack Della Maddalena,Randy Brown,1.3,3.7,LowVig.ag
Jack Della Maddalena,Randy Brown,1.31,3.7,DraftKings
Jack Della Maddalena,Randy Brown,1.3,3.46,MyBookie.ag
Jack Della Maddalena,Randy Brown,1.31,3.65,SuperBook
Jack Della Maddalena,Randy Brown,1.29,3.65,Barstool Sportsbook
Jack Della Maddalena,Randy Brown,1.29,3.65,SugarHouse
Jack Della Maddalena,Randy Brown,1.29,3.65,TwinSpires
Jack Della Maddalena,Randy Brown,1.29,3.65,BetRivers
Jack Della Maddalena,Randy Brown,1.29,3.65,Unibet
Jack Della Maddalena,Randy Brown,1.3,3.55,Bovada
Josh Emmett,Yair Rodriguez,2.43,1.61,LowVig.ag
Josh Emmett,Yair Rodriguez,2.35,1.65,DraftKings
Josh Emmett,Yair Rodriguez,2.31,1.59,MyBookie.ag
Josh Emmett,Yair Rodriguez,2.4,1.62,SuperBook
Josh Emmett,Yair Rodriguez,2.32,1.61,TwinSpires
Josh Emmett,Yair Rodriguez,2.32,1.61,Barstool Sportsbook
Josh Emmett,Yair Rodriguez,2.32,1.61,BetRivers
Josh Emmett,Yair Rodriguez,2.32,1.61,Unibet
Josh Emmett,Yair Rodriguez,2.32,1.61,SugarHouse
Josh Emmett,Yair Rodriguez,2.4,1.59,Bovada
Alex Volkanovski,Islam Makhachev,4.4,1.23,LowVig.ag
Alex Volkanovski,Islam Makhachev,4.0,1.25,Barstool Sportsbook
Alex Volkanovski,Islam Makhachev,4.0,1.25,BetRivers
Alex Volkanovski,Islam Makhachev,4.0,1.25,Unibet
Alex Volkanovski,Islam Makhachev,4.0,1.25,TwinSpires
Alex Volkanovski,Islam Makhachev,4.0,1.25,SugarHouse
Alex Volkanovski,Islam Makhachev,4.1,1.26,DraftKings
Alex Volkanovski,Islam Makhachev,3.92,1.24,MyBookie.ag
Alex Volkanovski,Islam Makhachev,4.2,1.26,SuperBook
Alex Volkanovski,Islam Makhachev,3.7,1.28,Bovada
Alexa Grasso,Valentina Shevchenko,5.1,1.17,Barstool Sportsbook
Alexa Grasso,Valentina Shevchenko,5.1,1.17,TwinSpires
Alexa Grasso,Valentina Shevchenko,5.25,1.17,LowVig.ag
Alexa Grasso,Valentina Shevchenko,5.1,1.17,SugarHouse
Alexa Grasso,Valentina Shevchenko,5.1,1.17,BetRivers
Derek Brunson,Dricus Du Plessis,2.7,1.5,DraftKings
Derek Brunson,Dricus Du Plessis,2.7,1.5,LowVig.ag
Ciryl Gane,Jon Jones,2.25,1.69,LowVig.ag
Ciryl Gane,Jon Jones,2.2,1.71,DraftKings
Ciryl Gane,Jon Jones,2.15,1.71,Barstool Sportsbook
Ciryl Gane,Jon Jones,2.15,1.71,BetRivers
Ciryl Gane,Jon Jones,2.15,1.71,SugarHouse
Ciryl Gane,Jon Jones,2.15,1.71,TwinSpires
Kamaru Usman,Leon Edwards,1.4,3.0,Barstool Sportsbook
Kamaru Usman,Leon Edwards,1.4,3.0,BetRivers
Kamaru Usman,Leon Edwards,1.4,3.0,SugarHouse
Kamaru Usman,Leon Edwards,1.4,3.0,TwinSpires
Kamaru Usman,Leon Edwards,1.41,3.05,DraftKings
Alex Pereira,Israel Adesanya,2.2,1.67,Barstool Sportsbook
Alex Pereira,Israel Adesanya,2.2,1.67,BetRivers
Alex Pereira,Israel Adesanya,2.2,1.67,TwinSpires
Alex Pereira,Israel Adesanya,2.2,1.67,SugarHouse
Alex Pereira,Israel Adesanya,2.35,1.65,DraftKings
Alex Pereira,Israel Adesanya,2.35,1.65,LowVig.ag
Gilbert Burns,Jorge Masvidal,1.22,4.35,BetRivers
Gilbert Burns,Jorge Masvidal,1.22,4.35,Barstool Sportsbook
Gilbert Burns,Jorge Masvidal,1.22,4.35,SugarHouse
Gilbert Burns,Jorge Masvidal,1.24,4.1,LowVig.ag
Gilbert Burns,Jorge Masvidal,1.22,4.35,TwinSpires
Gilbert Burns,Jorge Masvidal,1.23,4.5,DraftKings
