,DATE,EVENT,BOUT,Winner,WeightClass,Tittle,Women_fight,METHOD,TIME FORMAT,ROUND,TIME,TotalTime,REFEREE,DETAILS,URL
0,,UFC Fight Night: Cannonier vs. Strickland,Jared Cannonier vs. Sean Strickland,Jared Cannonier ,Middleweight,0,0,Decision - Split ,"[5, 5, 5, 5, 5]",5,5:00,1500,Herb Dean,Derek Cleary 46 - 49.Sal D'amato 49 - 46.Junichiro Kamijo 46 - 49.,http://ufcstats.com/fight-details/4ea48bf2407b405d
1,,UFC Fight Night: Cannonier vs. Strickland,Arman Tsarukyan vs. Damir Ismagulov,Arman Tsarukyan ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Mike Bell 27 - 30.Sal D'amato 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/ce7744d45a698aa6
2,,UFC Fight Night: Cannonier vs. Strickland,Amir Albazi vs. Alessandro Costa,Amir Albazi ,Flyweight,0,0,KO/TKO ,"[5, 5, 5]",3,2:13,733,Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/d95eeba3de7ecac5
3,,UFC Fight Night: Cannonier vs. Strickland,Alex Caceres vs. Julian Erosa,Alex Caceres ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",1,3:04,184,Herb Dean,Kick to Head At Distance ,http://ufcstats.com/fight-details/9c1a2ac64c98d2f6
4,,UFC Fight Night: Cannonier vs. Strickland,Drew Dober vs. Bobby Green,Drew Dober ,Lightweight,0,0,KO/TKO ,"[5, 5, 5]",2,2:45,465,Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/c335f44e4f3515ea
5,,UFC Fight Night: Cannonier vs. Strickland,Cody Brundage vs. Michal Oleksiejczuk,Michal Oleksiejczuk ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",1,3:16,196,Mark Smith,Punch to Head On Ground ,http://ufcstats.com/fight-details/e0444752d18fda7f
6,,UFC Fight Night: Cannonier vs. Strickland,Cheyanne Vlismas vs. Cory McKenna,Cory McKenna ,Strawweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Chris Tognoni,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/c960184a583f1861
7,,UFC Fight Night: Cannonier vs. Strickland,Jake Matthews vs. Matthew Semelsberger,Matthew Semelsberger ,Welterweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Herb Dean,Ron McCarthy 27 - 30.Mike Bell 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/5f4e944ff1bdcd9c
8,,UFC Fight Night: Cannonier vs. Strickland,Said Nurmagomedov vs. Saidyokub Kakhramonov,Said Nurmagomedov ,Bantamweight,0,0,Submission ,"[5, 5, 5]",2,3:50,530,Keith Peterson,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/ed6203e849a2bf28
9,,UFC Fight Night: Cannonier vs. Strickland,Rafa Garcia vs. Maheshate,Rafa Garcia ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Mike Bell 27 - 30.Derek Cleary 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/efc64d8aae5628c9
