FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight
Danny Abbadi,71.0,155.0,,Orthodox,1983-07-03,http://ufcstats.com/fighter-details/15df64c02b6b0fde,True
David Abbott,72.0,265.0,,Switch,,http://ufcstats.com/fighter-details/b361180739bed4b0,True
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,True
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/5140122c3eecd307,True
Papy Abedi,71.0,185.0,,Southpaw,1978-06-30,http://ufcstats.com/fighter-details/c9f6385af6df66d7,True
Ricardo Abreu,71.0,185.0,,Orthodox,1984-04-27,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,True
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,http://ufcstats.com/fighter-details/7279654c7674cd24,True
Scott Adams,72.0,225.0,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614,True
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/83b00f7597e5ac83,True
Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1992-07-29,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,True
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,True
Sam Adkins,75.0,225.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/0e9869d712e81f8f,True
Nick Agallar,68.0,155.0,,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,True
Mariya Agapova,66.0,125.0,68.0,Southpaw,1997-04-07,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,True
Marcelo Aguiar,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68,True
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,http://ufcstats.com/fighter-details/8f382b3baa954d2a,True
