,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
0,AJ Dobson,73.0,185.0,76.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,27,52,90,68,110,0,0,41,79,6,6,5,5,44,78,5,9,3,3,0.0,0.0,0.0,557.0,80.0,128.0,183.0,255.0,6.0,16.0,70.0,118.0,9.0,9.0,1.0,1.0,29.0,57.0,4.0,7.0,47.0,64.0
1,AJ Fletcher,70.0,170.0,67.0,Switch,2,0,0,2,0,1800,0.0,2.0,2.0,378,121,245,190,325,4,10,95,212,11,17,15,16,110,227,6,10,5,8,0.0,0.0,0.0,621.0,169.0,315.0,295.0,451.0,3.0,5.0,120.0,255.0,33.0,42.0,16.0,18.0,116.0,240.0,13.0,21.0,40.0,54.0
2,Aalon Cruz,72.0,145.0,78.0,Switch,2,0,0,2,0,185,0.0,0.0,0.0,16,2,15,2,15,0,3,2,6,0,5,0,4,2,15,0,0,0,0,1.0,0.0,0.0,63.0,65.0,92.0,84.0,112.0,0.0,0.0,62.0,88.0,1.0,2.0,2.0,2.0,9.0,14.0,7.0,8.0,49.0,70.0
3,Aaron Phillips,69.0,135.0,71.0,Southpaw,3,0,0,3,0,2249,0.0,1.0,1.0,73,62,109,346,432,0,1,29,71,29,32,4,6,28,65,21,25,13,19,0.0,2.0,1.0,1709.0,129.0,213.0,257.0,360.0,14.0,25.0,98.0,170.0,21.0,30.0,10.0,13.0,25.0,60.0,31.0,40.0,73.0,113.0
4,Aaron Riley,68.0,155.0,69.0,Southpaw,9,3,0,6,0,5722,0.0,1.0,0.0,1117,314,904,581,1190,8,23,147,653,92,142,75,109,190,714,102,160,22,30,2.0,0.0,0.0,406.0,373.0,954.0,503.0,1089.0,11.0,28.0,246.0,776.0,99.0,124.0,28.0,54.0,259.0,761.0,100.0,168.0,14.0,25.0
5,Aaron Rosa,76.0,205.0,77.0,Orthodox,3,1,0,2,0,1714,0.0,0.0,0.0,60,132,290,407,598,0,1,81,233,42,47,9,10,80,227,52,63,0,0,0.0,0.0,0.0,798.0,129.0,260.0,270.0,429.0,2.0,14.0,92.0,216.0,16.0,19.0,21.0,25.0,84.0,206.0,30.0,38.0,15.0,16.0
6,Aaron Simpson,72.0,170.0,73.0,Orthodox,11,7,0,4,0,7603,6.0,4.0,0.0,3208,454,860,800,1265,32,92,253,608,97,142,104,110,164,454,184,252,106,154,1.0,2.0,1.0,975.0,320.0,730.0,493.0,914.0,5.0,30.0,192.0,576.0,52.0,66.0,76.0,88.0,150.0,473.0,145.0,229.0,25.0,28.0
7,Abdul Razak Alhassan,70.0,185.0,73.0,Orthodox,10,5,0,5,0,4231,7.0,0.0,1.0,456,247,513,285,558,5,11,194,435,26,35,27,43,187,419,36,56,24,38,1.0,2.0,0.0,1533.0,287.0,659.0,423.0,826.0,24.0,50.0,181.0,525.0,71.0,98.0,35.0,36.0,209.0,545.0,47.0,70.0,31.0,44.0
8,Abel Trujillo,68.0,155.0,70.0,Orthodox,11,6,0,4,1,6191,3.0,3.0,0.0,1134,273,662,370,767,15,33,195,568,59,75,19,19,145,483,63,97,65,82,1.0,12.0,0.0,1798.0,238.0,590.0,349.0,728.0,34.0,57.0,153.0,458.0,41.0,65.0,44.0,67.0,176.0,487.0,35.0,64.0,27.0,39.0
9,Abu Azaitar,69.0,185.0,76.0,Orthodox,2,1,0,1,0,1796,0.0,0.0,1.0,321,156,347,277,487,1,4,78,247,59,80,19,20,112,290,31,41,13,16,1.0,1.0,1.0,657.0,160.0,320.0,253.0,430.0,3.0,5.0,136.0,289.0,12.0,17.0,12.0,14.0,95.0,226.0,18.0,25.0,47.0,69.0
10,Abubakar Nurmagomedov,71.0,170.0,72.0,Orthodox,2,1,0,1,0,1070,0.0,0.0,0.0,368,64,129,122,198,2,6,48,113,9,9,7,7,60,124,4,5,0,0,0.0,2.0,0.0,0.0,45.0,147.0,136.0,241.0,0.0,0.0,30.0,117.0,13.0,28.0,2.0,2.0,37.0,138.0,3.0,3.0,5.0,6.0
11,Adam Milstead,75.0,205.0,76.0,Orthodox,4,1,0,2,1,1979,0.0,0.0,0.0,20,127,271,156,303,0,0,105,245,13,17,9,9,101,234,22,33,4,4,2.0,0.0,0.0,1028.0,158.0,279.0,335.0,490.0,10.0,28.0,104.0,218.0,25.0,31.0,29.0,30.0,107.0,220.0,14.0,18.0,37.0,41.0
12,Adam Wieczorek,77.0,250.0,81.0,Orthodox,3,2,0,1,0,2219,0.0,1.0,0.0,266,62,160,118,222,1,3,28,116,21,28,13,16,43,136,12,13,7,11,0.0,0.0,0.0,1238.0,69.0,134.0,156.0,247.0,7.0,17.0,33.0,93.0,23.0,26.0,13.0,15.0,32.0,83.0,11.0,13.0,26.0,38.0
13,Adam Yandiev,69.0,185.0,74.0,Orthodox,1,0,0,1,0,342,0.0,0.0,0.0,0,1,12,1,12,0,0,0,9,0,2,1,1,1,10,0,2,0,0,0.0,2.0,0.0,215.0,35.0,55.0,55.0,82.0,3.0,4.0,33.0,52.0,1.0,2.0,1.0,1.0,3.0,15.0,2.0,2.0,30.0,38.0
14,Adlan Amagov,74.0,170.0,76.0,Orthodox,2,2,0,0,0,1080,1.0,0.0,0.0,274,53,125,80,152,6,11,22,71,8,15,23,39,29,87,15,23,9,15,0.0,0.0,0.0,38.0,9.0,67.0,28.0,86.0,0.0,3.0,1.0,48.0,2.0,5.0,6.0,14.0,7.0,62.0,2.0,5.0,0.0,0.0
15,Adrian Yanez,67.0,135.0,70.0,Orthodox,5,5,0,0,0,2353,5.0,0.0,0.0,16,257,643,259,645,0,0,183,533,36,69,38,41,244,622,2,3,11,18,0.0,0.0,0.0,66.0,216.0,539.0,220.0,544.0,0.0,5.0,132.0,406.0,57.0,99.0,27.0,34.0,216.0,536.0,0.0,3.0,0.0,0.0
16,Adriano Martins,70.0,155.0,72.0,Southpaw,7,4,0,3,0,3445,2.0,2.0,0.0,375,103,234,131,265,4,5,55,173,11,17,37,44,96,220,0,3,7,11,2.0,0.0,0.0,16.0,108.0,342.0,110.0,344.0,1.0,7.0,35.0,214.0,39.0,74.0,34.0,54.0,104.0,336.0,2.0,4.0,2.0,2.0
17,Aiemann Zahabi,68.0,135.0,68.0,Orthodox,5,3,0,2,0,3603,2.0,0.0,1.0,160,181,415,184,418,1,6,117,329,30,46,34,40,166,394,10,14,5,7,1.0,0.0,0.0,180.0,203.0,746.0,217.0,760.0,5.0,20.0,108.0,594.0,41.0,85.0,54.0,67.0,190.0,729.0,7.0,11.0,6.0,6.0
18,Aisling Daly,62.0,115.0,64.0,Orthodox,3,2,0,1,0,2093,0.0,2.0,0.0,1266,102,196,268,376,5,12,71,153,25,35,6,8,16,63,28,40,58,93,0.0,1.0,0.0,585.0,49.0,111.0,200.0,277.0,4.0,6.0,32.0,87.0,10.0,16.0,7.0,8.0,21.0,56.0,20.0,35.0,8.0,20.0
