fighter1,fighter2,odds_f1,odds_f2,bookmaker
Aj Fletcher,Themba Gorimbo,1.36,3.3,DraftKings
Aj Fletcher,Themba Gorimbo,1.36,3.3,SuperBook
Aj Fletcher,Themba Gorimbo,1.38,3.25,LowVig.ag
Aj Fletcher,Themba Gorimbo,1.36,3.2,Bovada
Aj Fletcher,Themba Gorimbo,1.36,3.1,BetRivers
Aj Fletcher,Themba Gorimbo,1.36,3.1,SugarHouse
Aj Fletcher,Themba Gorimbo,1.36,3.1,Barstool Sportsbook
Aj Fletcher,Themba Gorimbo,1.36,3.1,TwinSpires
Aj Fletcher,Themba Gorimbo,1.36,3.1,Unibet
Aj Fletcher,Themba Gorimbo,1.37,3.2,William Hill (US)
Clayton Carpenter,Juancamilo Ronderos,1.33,3.55,DraftKings
Clayton Carpenter,Juancamilo Ronderos,1.33,3.5,LowVig.ag
Clayton Carpenter,Juancamilo Ronderos,1.33,3.5,Bovada
Clayton Carpenter,Juancamilo Ronderos,1.32,3.45,BetRivers
Clayton Carpenter,Juancamilo Ronderos,1.32,3.45,SugarHouse
Clayton Carpenter,Juancamilo Ronderos,1.32,3.45,Barstool Sportsbook
Clayton Carpenter,Juancamilo Ronderos,1.32,3.45,TwinSpires
Clayton Carpenter,Juancamilo Ronderos,1.32,3.45,Unibet
Clayton Carpenter,Juancamilo Ronderos,1.31,3.5,SuperBook
Clayton Carpenter,Juancamilo Ronderos,1.31,3.6,William Hill (US)
Evan Elder,Nazim Sadykhov,2.65,1.51,DraftKings
Evan Elder,Nazim Sadykhov,2.7,1.5,SuperBook
Evan Elder,Nazim Sadykhov,2.65,1.53,LowVig.ag
Evan Elder,Nazim Sadykhov,2.65,1.5,Bovada
Evan Elder,Nazim Sadykhov,2.55,1.51,BetRivers
Evan Elder,Nazim Sadykhov,2.55,1.51,SugarHouse
Evan Elder,Nazim Sadykhov,2.55,1.51,Barstool Sportsbook
Evan Elder,Nazim Sadykhov,2.55,1.51,TwinSpires
Evan Elder,Nazim Sadykhov,2.55,1.51,Unibet
Evan Elder,Nazim Sadykhov,2.7,1.5,William Hill (US)
Jamall Emmers,Khusein Askhabov,2.29,1.67,LowVig.ag
Jamall Emmers,Khusein Askhabov,2.35,1.65,DraftKings
Jamall Emmers,Khusein Askhabov,2.35,1.62,SuperBook
Jamall Emmers,Khusein Askhabov,2.3,1.65,Bovada
Jamall Emmers,Khusein Askhabov,2.23,1.65,BetRivers
Jamall Emmers,Khusein Askhabov,2.23,1.65,SugarHouse
Jamall Emmers,Khusein Askhabov,2.23,1.65,Barstool Sportsbook
Jamall Emmers,Khusein Askhabov,2.23,1.65,TwinSpires
Jamall Emmers,Khusein Askhabov,2.23,1.65,Unibet
Jamall Emmers,Khusein Askhabov,2.3,1.65,William Hill (US)
Lina Lansberg,Mayra Bueno Silva,5.1,1.19,DraftKings
Lina Lansberg,Mayra Bueno Silva,5.0,1.2,SuperBook
Lina Lansberg,Mayra Bueno Silva,5.25,1.17,LowVig.ag
Lina Lansberg,Mayra Bueno Silva,5.15,1.17,Bovada
Lina Lansberg,Mayra Bueno Silva,4.4,1.22,BetRivers
Lina Lansberg,Mayra Bueno Silva,4.4,1.22,SugarHouse
Lina Lansberg,Mayra Bueno Silva,4.4,1.22,Barstool Sportsbook
Lina Lansberg,Mayra Bueno Silva,4.4,1.22,TwinSpires
Lina Lansberg,Mayra Bueno Silva,4.4,1.22,Unibet
Lina Lansberg,Mayra Bueno Silva,4.8,1.2,William Hill (US)
Ovince St. Preux,Philipe Lins,2.85,1.47,DraftKings
Ovince St. Preux,Philipe Lins,2.9,1.45,SuperBook
Ovince St. Preux,Philipe Lins,2.75,1.49,LowVig.ag
Ovince St. Preux,Philipe Lins,2.75,1.45,Bovada
Ovince St. Preux,Philipe Lins,2.7,1.47,BetRivers
Ovince St. Preux,Philipe Lins,2.7,1.47,SugarHouse
Ovince St. Preux,Philipe Lins,2.7,1.47,Barstool Sportsbook
Ovince St. Preux,Philipe Lins,2.7,1.47,TwinSpires
Ovince St. Preux,Philipe Lins,2.7,1.47,Unibet
Ovince St. Preux,Philipe Lins,2.85,1.44,William Hill (US)
Alex Hernandez,Jim Miller,1.44,2.9,LowVig.ag
Alex Hernandez,Jim Miller,1.44,2.9,DraftKings
Alex Hernandez,Jim Miller,1.43,2.9,SuperBook
Alex Hernandez,Jim Miller,1.41,2.9,BetRivers
Alex Hernandez,Jim Miller,1.41,2.9,SugarHouse
Alex Hernandez,Jim Miller,1.41,2.9,Barstool Sportsbook
Alex Hernandez,Jim Miller,1.41,2.9,TwinSpires
Alex Hernandez,Jim Miller,1.41,2.9,Unibet
Alex Hernandez,Jim Miller,1.43,2.9,William Hill (US)
Alex Hernandez,Jim Miller,1.43,2.85,Bovada
Marcin Prachnio,William Knight,2.05,1.8,DraftKings
Marcin Prachnio,William Knight,2.05,1.8,SuperBook
Marcin Prachnio,William Knight,2.0,1.83,LowVig.ag
Marcin Prachnio,William Knight,2.05,1.8,Bovada
Marcin Prachnio,William Knight,1.95,1.85,BetRivers
Marcin Prachnio,William Knight,1.95,1.85,SugarHouse
Marcin Prachnio,William Knight,1.95,1.85,Barstool Sportsbook
Marcin Prachnio,William Knight,1.95,1.85,TwinSpires
Marcin Prachnio,William Knight,1.95,1.85,Unibet
Marcin Prachnio,William Knight,2.0,1.83,William Hill (US)
Jamal Pogues,Josh Parisian,1.4,3.1,DraftKings
Jamal Pogues,Josh Parisian,1.4,3.1,SuperBook
Jamal Pogues,Josh Parisian,1.42,3.05,LowVig.ag
Jamal Pogues,Josh Parisian,1.4,3.05,Bovada
Jamal Pogues,Josh Parisian,1.4,2.95,BetRivers
Jamal Pogues,Josh Parisian,1.4,2.95,SugarHouse
Jamal Pogues,Josh Parisian,1.4,2.95,Barstool Sportsbook
Jamal Pogues,Josh Parisian,1.4,2.95,TwinSpires
Jamal Pogues,Josh Parisian,1.4,2.95,Unibet
Jamal Pogues,Josh Parisian,1.38,3.1,William Hill (US)
Jordan Wright,Zac Pauga,3.3,1.36,DraftKings
Jordan Wright,Zac Pauga,3.3,1.37,LowVig.ag
Jordan Wright,Zac Pauga,3.4,1.36,SuperBook
Jordan Wright,Zac Pauga,3.3,1.36,Bovada
Jordan Wright,Zac Pauga,3.2,1.35,BetRivers
Jordan Wright,Zac Pauga,3.2,1.35,SugarHouse
Jordan Wright,Zac Pauga,3.2,1.35,Barstool Sportsbook
Jordan Wright,Zac Pauga,3.2,1.35,TwinSpires
Jordan Wright,Zac Pauga,3.2,1.35,Unibet
Jordan Wright,Zac Pauga,3.3,1.36,William Hill (US)
Erin Blanchfield,Jessica Andrade,2.06,1.77,BetRivers
Erin Blanchfield,Jessica Andrade,2.06,1.77,Barstool Sportsbook
Erin Blanchfield,Jessica Andrade,2.06,1.77,SugarHouse
Erin Blanchfield,Jessica Andrade,2.06,1.77,TwinSpires
Erin Blanchfield,Jessica Andrade,2.06,1.77,Unibet
Erin Blanchfield,Jessica Andrade,2.05,1.8,LowVig.ag
Erin Blanchfield,Jessica Andrade,2.1,1.77,SuperBook
Erin Blanchfield,Jessica Andrade,2.1,1.77,DraftKings
Erin Blanchfield,Jessica Andrade,2.15,1.74,William Hill (US)
Erin Blanchfield,Jessica Andrade,2.1,1.77,Bovada
Charles Johnson,Ode Osbourne,1.51,2.7,LowVig.ag
Charles Johnson,Ode Osbourne,1.53,2.6,DraftKings
Charles Johnson,Ode Osbourne,1.53,2.6,William Hill (US)
Erick Gonzalez,Trevor Peek,2.49,1.57,LowVig.ag
Erick Gonzalez,Trevor Peek,2.5,1.57,William Hill (US)
Erick Gonzalez,Trevor Peek,2.55,1.56,DraftKings
Jordan Leavitt,Victor Martinez,1.77,2.1,SuperBook
Jordan Leavitt,Victor Martinez,1.77,2.1,LowVig.ag
Jordan Leavitt,Victor Martinez,1.74,2.15,William Hill (US)
Jordan Leavitt,Victor Martinez,1.77,2.1,DraftKings
Andre Muniz,Brendan Allen,1.56,2.6,SuperBook
Andre Muniz,Brendan Allen,1.54,2.61,LowVig.ag
Andre Muniz,Brendan Allen,1.53,2.6,William Hill (US)
Andre Muniz,Brendan Allen,1.53,2.6,DraftKings
Augusto Sakai,Don'Tale Mayes,1.87,1.95,SuperBook
Augusto Sakai,Don'Tale Mayes,1.87,1.95,LowVig.ag
Augusto Sakai,Don'Tale Mayes,1.87,1.95,DraftKings
Augusto Sakai,Don'Tale Mayes,1.91,1.91,William Hill (US)
Mike Malott,Yohan Lainesse,1.48,2.8,SuperBook
Mike Malott,Yohan Lainesse,1.48,2.8,LowVig.ag
Mike Malott,Yohan Lainesse,1.45,2.8,William Hill (US)
Mike Malott,Yohan Lainesse,1.47,2.85,DraftKings
Nikita Krylov,Ryan Spann,1.65,2.35,SuperBook
Nikita Krylov,Ryan Spann,1.67,2.3,LowVig.ag
Nikita Krylov,Ryan Spann,1.67,2.25,William Hill (US)
Nikita Krylov,Ryan Spann,1.65,2.35,DraftKings
Alexa Grasso,Valentina Shevchenko,5.1,1.17,Barstool Sportsbook
Alexa Grasso,Valentina Shevchenko,5.1,1.17,TwinSpires
Alexa Grasso,Valentina Shevchenko,5.25,1.17,LowVig.ag
Alexa Grasso,Valentina Shevchenko,5.1,1.17,SugarHouse
Alexa Grasso,Valentina Shevchenko,5.1,1.17,BetRivers
Alexa Grasso,Valentina Shevchenko,5.25,1.18,SuperBook
Derek Brunson,Dricus Du Plessis,3.0,1.42,DraftKings
Derek Brunson,Dricus Du Plessis,2.95,1.44,LowVig.ag
Derek Brunson,Dricus Du Plessis,2.7,1.47,Barstool Sportsbook
Derek Brunson,Dricus Du Plessis,2.7,1.47,BetRivers
Derek Brunson,Dricus Du Plessis,2.7,1.47,SugarHouse
Derek Brunson,Dricus Du Plessis,2.7,1.47,TwinSpires
Derek Brunson,Dricus Du Plessis,2.9,1.45,SuperBook
Geoffrey Neal,Shavkat Rakhmonov,4.5,1.23,DraftKings
Geoffrey Neal,Shavkat Rakhmonov,4.75,1.22,SuperBook
Ciryl Gane,Jon Jones,2.35,1.65,LowVig.ag
Ciryl Gane,Jon Jones,2.3,1.67,DraftKings
Ciryl Gane,Jon Jones,2.3,1.62,Barstool Sportsbook
Ciryl Gane,Jon Jones,2.3,1.62,BetRivers
Ciryl Gane,Jon Jones,2.3,1.62,SugarHouse
Ciryl Gane,Jon Jones,2.3,1.62,TwinSpires
Kamaru Usman,Leon Edwards,1.4,2.95,Barstool Sportsbook
Kamaru Usman,Leon Edwards,1.4,2.95,BetRivers
Kamaru Usman,Leon Edwards,1.4,2.95,SugarHouse
Kamaru Usman,Leon Edwards,1.4,2.95,TwinSpires
Kamaru Usman,Leon Edwards,1.4,3.1,DraftKings
Kamaru Usman,Leon Edwards,1.39,3.15,SuperBook
Gilbert Burns,Jorge Masvidal,1.19,4.8,BetRivers
Gilbert Burns,Jorge Masvidal,1.19,4.8,Barstool Sportsbook
Gilbert Burns,Jorge Masvidal,1.19,4.8,SugarHouse
Gilbert Burns,Jorge Masvidal,1.24,4.1,LowVig.ag
Gilbert Burns,Jorge Masvidal,1.19,4.8,TwinSpires
Gilbert Burns,Jorge Masvidal,1.22,4.6,DraftKings
Alex Pereira,Israel Adesanya,2.25,1.64,Barstool Sportsbook
Alex Pereira,Israel Adesanya,2.25,1.64,BetRivers
Alex Pereira,Israel Adesanya,2.25,1.64,TwinSpires
Alex Pereira,Israel Adesanya,2.25,1.64,SugarHouse
Alex Pereira,Israel Adesanya,2.35,1.65,DraftKings
Alex Pereira,Israel Adesanya,2.35,1.65,LowVig.ag
Conor McGregor,Michael Chandler,1.91,1.91,DraftKings
